127.0.0.1, 2012-03-25 20:44:39, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.002225
127.0.0.1, 2012-03-25 20:44:39, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.001776
127.0.0.1, 2012-03-25 20:44:39, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001450
127.0.0.1, 2012-03-25 20:44:39, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.000595
127.0.0.1, 2012-03-25 20:44:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000402
127.0.0.1, 2012-03-25 20:44:45, POST, /admin/default/index, HTTP/1.1, 303, 0.035416
127.0.0.1, 2012-03-25 20:44:45, GET, /admin/default/edit/EmailRegApp/models/db.py, HTTP/1.1, 200, 0.047902
127.0.0.1, 2012-03-25 20:44:45, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 200, 0.000501
127.0.0.1, 2012-03-25 20:44:45, GET, /admin/static/edit_area/edit_area_full.js, HTTP/1.1, 200, 0.001497
127.0.0.1, 2012-03-25 20:44:45, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.000546
127.0.0.1, 2012-03-25 20:44:45, GET, /admin/static/edit_area/langs/en.js, HTTP/1.1, 200, 0.001782
127.0.0.1, 2012-03-25 20:44:45, GET, /admin/static/edit_area/reg_syntax/python.js, HTTP/1.1, 200, 0.001202
127.0.0.1, 2012-03-25 20:44:51, GET, /admin/default/edit/EmailRegApp/models/db.py, HTTP/1.1, 200, 0.045350
127.0.0.1, 2012-03-25 20:44:52, GET, /admin/static/edit_area/images/search.gif, HTTP/1.1, 200, 0.001002
127.0.0.1, 2012-03-25 20:44:53, GET, /admin/default/edit/EmailRegApp/models/db.py, HTTP/1.1, 200, 0.043011
127.0.0.1, 2012-03-25 20:44:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000530
127.0.0.1, 2012-03-25 20:44:54, GET, /admin/static/edit_area/images/fullscreen.gif, HTTP/1.1, 200, 0.000567
127.0.0.1, 2012-03-25 20:44:54, GET, /admin/static/edit_area/images/go_to_line.gif, HTTP/1.1, 200, 0.001809
127.0.0.1, 2012-03-25 20:44:54, GET, /admin/static/edit_area/images/spacer.gif, HTTP/1.1, 200, 0.000463
127.0.0.1, 2012-03-25 20:44:54, GET, /admin/static/edit_area/images/undo.gif, HTTP/1.1, 200, 0.000442
127.0.0.1, 2012-03-25 20:44:54, GET, /admin/static/edit_area/images/redo.gif, HTTP/1.1, 200, 0.000515
127.0.0.1, 2012-03-25 20:44:54, GET, /admin/static/edit_area/images/smooth_selection.gif, HTTP/1.1, 200, 0.000582
127.0.0.1, 2012-03-25 20:44:54, GET, /admin/static/edit_area/images/statusbar_resize.gif, HTTP/1.1, 200, 0.000561
127.0.0.1, 2012-03-25 20:44:54, GET, /admin/static/edit_area/images/reset_highlight.gif, HTTP/1.1, 200, 0.005595
127.0.0.1, 2012-03-25 20:44:54, GET, /admin/static/edit_area/images/highlight.gif, HTTP/1.1, 200, 0.007289
127.0.0.1, 2012-03-25 20:44:54, GET, /admin/static/edit_area/images/close.gif, HTTP/1.1, 200, 0.006119
127.0.0.1, 2012-03-25 20:44:54, GET, /admin/static/edit_area/images/help.gif, HTTP/1.1, 200, 0.005956
127.0.0.1, 2012-03-25 20:44:54, GET, /admin/static/edit_area/images/word_wrap.gif, HTTP/1.1, 200, 0.008631
127.0.0.1, 2012-03-25 20:44:56, GET, /admin/default/index, HTTP/1.1, 303, 0.006852
127.0.0.1, 2012-03-25 20:44:56, GET, /admin/default/site, HTTP/1.1, 200, 0.050855
127.0.0.1, 2012-03-25 20:44:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000390
127.0.0.1, 2012-03-25 20:44:57, POST, /admin/default/check_version, HTTP/1.1, 500, 0.837165
127.0.0.1, 2012-03-25 20:44:57, GET, /admin/default/twitter, HTTP/1.1, 200, 0.573637
127.0.0.1, 2012-03-25 20:44:59, GET, /admin/default/design/EmailRegApp, HTTP/1.1, 200, 0.101512
127.0.0.1, 2012-03-25 20:45:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000410
127.0.0.1, 2012-03-25 20:45:01, GET, /admin/default/edit/EmailRegApp/models/db.py, HTTP/1.1, 200, 0.048023
127.0.0.1, 2012-03-25 20:45:02, GET, /admin/static/edit_area/images/word_wrap.gif, HTTP/1.1, 200, 0.000474
127.0.0.1, 2012-03-25 20:45:02, GET, /admin/static/edit_area/images/help.gif, HTTP/1.1, 200, 0.000531
127.0.0.1, 2012-03-25 20:45:02, GET, /admin/static/edit_area/images/statusbar_resize.gif, HTTP/1.1, 200, 0.001687
127.0.0.1, 2012-03-25 20:45:02, GET, /admin/static/edit_area/images/close.gif, HTTP/1.1, 200, 0.000473
127.0.0.1, 2012-03-25 20:45:02, GET, /admin/static/edit_area/images/reset_highlight.gif, HTTP/1.1, 200, 0.003397
127.0.0.1, 2012-03-25 20:45:02, GET, /admin/static/edit_area/images/move.gif, HTTP/1.1, 200, 0.004293
127.0.0.1, 2012-03-25 20:45:07, GET, /admin/default/edit/EmailRegApp/models/db.py, HTTP/1.1, 200, 0.043449
127.0.0.1, 2012-03-25 20:45:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000402
127.0.0.1, 2012-03-25 20:45:10, GET, /admin/default/design/EmailRegApp, HTTP/1.1, 200, 0.131405
127.0.0.1, 2012-03-25 20:45:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000410
127.0.0.1, 2012-03-25 20:45:11, GET, /admin/default/site, HTTP/1.1, 200, 0.048805
127.0.0.1, 2012-03-25 20:45:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000397
127.0.0.1, 2012-03-25 20:45:12, GET, /admin/default/twitter, HTTP/1.1, 200, 0.542016
127.0.0.1, 2012-03-25 20:45:34, GET, /admin/default/site, HTTP/1.1, 303, 0.006261
127.0.0.1, 2012-03-25 20:45:34, GET, /admin/default/index, HTTP/1.1, 200, 0.035338
127.0.0.1, 2012-03-25 20:45:34, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.000528
127.0.0.1, 2012-03-25 20:45:34, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.000521
127.0.0.1, 2012-03-25 20:45:34, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.000369
127.0.0.1, 2012-03-25 20:45:34, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.000371
127.0.0.1, 2012-03-25 20:45:34, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.000386
127.0.0.1, 2012-03-25 20:45:34, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.000651
127.0.0.1, 2012-03-25 20:45:35, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000578
127.0.0.1, 2012-03-25 20:45:35, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.000459
127.0.0.1, 2012-03-25 20:45:35, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.000396
